accession	accession_version	strain	date	region	country	division	location	length	host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution
AF164531	AF164531.1	AF164531	XXXX-XX-XX					693		2000-03-26	2016-07-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164532	AF164532.1	AF164532	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164533	AF164533.1	AF164533	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164534	AF164534.1	AF164534	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164535	AF164535.1	AF164535	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164536	AF164536.1	AF164536	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164537	AF164537.1	AF164537	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164538	AF164538.1	AF164538	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164539	AF164539.1	AF164539	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164540	AF164540.1	AF164540	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164541	AF164541.1	AF164541	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164542	AF164542.1	AF164542	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164543	AF164543.1	AF164543	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164544	AF164544.1	AF164544	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164545	AF164545.1	AF164545	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164546	AF164546.1	AF164546	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164547	AF164547.1	AF164547	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164548	AF164548.1	AF164548	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164549	AF164549.1	AF164549	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164550	AF164550.1	AF164550	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164551	AF164551.1	AF164551	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164552	AF164552.1	AF164552	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164553	AF164553.1	AF164553	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
