accession	accession_version	strain	date	region	country	division	location	length	host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution
AF484424	AF484424.1	AF484424	XXXX-XX-XX					6846		2002-12-24	2003-01-28		Aquino,V.H.,Moreli,M.L.,Moraes Figueiredo,L.T.	Aquino et al.	Faculdade de Medicina de Ribeirao Preto, Virologia
HQ830408	HQ830408.1	AR19886	1960-XX-XX					760	Ochlerotatus serratus	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830409	HQ830409.1	H290086	1961-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830410	HQ830410.1	H290090	1961-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830411	HQ830411.1	H121293	1967-XX-XX					780	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830412	HQ830412.1	AR136921	1968-XX-XX					720	Culex quinquefasciatus	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830413	HQ830413.1	AN206119	1971-XX-XX					760	Bradypus tridactylus	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830414	HQ830414.1	AN208402	1971-XX-XX					720	Bradypus tridactylus	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830415	HQ830415.1	AN208819	1971-XX-XX					760	Bradypus tridactylus	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830416	HQ830416.1	H357173	1978-XX-XX					720	Bradypus tridactylus	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
